Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	Library
6	36.822148925095235	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
7	36.8231252029271	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
8	36.82027563672769	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
9	36.82685282733046	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
10-14	36.82202813556769	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
15-19	36.81285366422553	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
20-24	36.80162114255628	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
25-29	36.78945462337977	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
30-34	36.77215175630759	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
35-39	36.75769615455526	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
40-44	36.74861226870881	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
45-49	36.72973030665704	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
50-54	36.70840918281449	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
55-59	36.711726298157984	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
60-64	36.700373448022745	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
65-69	36.689485735253605	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
70-74	36.67764964131064	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
75-79	36.683018324476464	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
80-84	36.67874207725983	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
85-89	36.674457749002315	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
90-94	36.66949398869649	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
95-99	36.65375767172555	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
100-104	36.63497596450861	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
105-109	36.62725806805308	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
110-114	36.6293826694927	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
115-119	36.62379625632684	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
120-124	36.604998681703066	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
125-129	36.600507531299066	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
130-134	36.59693276872529	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
135-139	36.59088545443391	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
140-144	36.562803386382015	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
145-149	36.529957150314786	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
150-151	36.77120439047433	37.0	37.0	37.0	37.0	37.0	FJVN103_R1_rmphix_fastqc
1	36.71656881001468	37.0	37.0	37.0	37.0	37.0	FJVN103_R2_rmphix_fastqc
2	36.74966483466335	37.0	37.0	37.0	37.0	37.0	FJVN103_R2_rmphix_fastqc
3	36.75952523411533	37.0	37.0	37.0	37.0	37.0	FJVN103_R2_rmphix_fastqc
4	36.782720693668644	37.0	37.0	37.0	37.0	37.0	FJVN103_R2_rmphix_fastqc
5	36.79605435728237	37.0	37.0	37.0	37.0	37.0	FJVN103_R2_rmphix_fastqc
6	36.79437112422738	37.0	37.0	37.0	37.0	37.0	FJVN103_R2_rmphix_fastqc
