Length	Count	Library
70-74	199291.0	FJVN69_R1_rmphix_fastqc
75-79	189907.0	FJVN69_R1_rmphix_fastqc
80-84	185246.0	FJVN69_R1_rmphix_fastqc
85-89	181335.0	FJVN69_R1_rmphix_fastqc
90-94	180594.0	FJVN69_R1_rmphix_fastqc
95-99	186765.0	FJVN69_R1_rmphix_fastqc
100-104	201182.0	FJVN69_R1_rmphix_fastqc
105-109	198234.0	FJVN69_R1_rmphix_fastqc
110-114	192359.0	FJVN69_R1_rmphix_fastqc
115-119	192969.0	FJVN69_R1_rmphix_fastqc
120-124	207238.0	FJVN69_R1_rmphix_fastqc
125-129	211552.0	FJVN69_R1_rmphix_fastqc
130-134	211477.0	FJVN69_R1_rmphix_fastqc
135-139	208009.0	FJVN69_R1_rmphix_fastqc
140-144	231517.0	FJVN69_R1_rmphix_fastqc
145-149	290051.0	FJVN69_R1_rmphix_fastqc
150-152	2.1212692E7	FJVN69_R1_rmphix_fastqc
50-54	215394.0	FJVN69_R2_rmphix_fastqc
55-59	217792.0	FJVN69_R2_rmphix_fastqc
60-64	207947.0	FJVN69_R2_rmphix_fastqc
65-69	227479.0	FJVN69_R2_rmphix_fastqc
70-74	217530.0	FJVN69_R2_rmphix_fastqc
75-79	217879.0	FJVN69_R2_rmphix_fastqc
80-84	216145.0	FJVN69_R2_rmphix_fastqc
85-89	212302.0	FJVN69_R2_rmphix_fastqc
90-94	214535.0	FJVN69_R2_rmphix_fastqc
95-99	213951.0	FJVN69_R2_rmphix_fastqc
100-104	216810.0	FJVN69_R2_rmphix_fastqc
105-109	218539.0	FJVN69_R2_rmphix_fastqc
