SampleID2	SampleID	Ward_Batch	pH_Soil	pH_Buffer	Soluble_Salts	Lime	Texture	OM	Nitrate	lbs	Phosphorus	Potassium	Sulfate	Zinc	Iron	Manganese	Copper	Calcium	Magnesium	Sodium	CEC	H_Sat	K_Sat	Ca_Sat	Mg_Sat	Na_Sat	Set
JEP144	JEP144	B	5.4	6	0.14	NONE	2	3.8	0.4	1	6.6	132	17.8	1.43	120.5	19.7	1.6	328	337	202	15.4	63	2	11	18	6	Temporal
JEP153	JEP153	B	5.1	6.3	0.11	NONE	2	3.8	0.4	1	9.6	146	11	2.28	111.7	26.3	1.61	590	161	64	11.6	58	3	25	12	2	Temporal
JEP154	JEP154	B	5.2	6.2	0.13	NONE	2	4	0.6	1	18.3	144	8.9	1.91	160.8	22.8	1.63	310	182	115	11.7	66	3	13	13	4	Temporal
JEP155	JEP155	B	5.1	6.2	0.11	NONE	2	3.4	0.5	1	9.7	170	9.8	2.21	150.8	23.5	1.54	326	157	65	12.2	70	4	13	11	2	Temporal
JEP156	JEP156	B	5.4	6	0.22	NONE	2	3.2	0.8	1	11	131	13.1	1.28	132.3	21.6	1.56	258	236	261	14.4	67	2	9	14	8	Temporal
JEP157	JEP157	B	5.3	6.3	0.08	NONE	2	4.9	0.4	1	10.1	190	1.4	3.76	134.3	19.9	1.55	825	258	41	14.4	52	3	29	15	1	Temporal
JEP158	JEP158	B	5.6	6.4	0.19	NONE	2	3.6	0.2	0	21.2	208	26.5	2.01	142.9	21.9	1.87	352	487	318	14	45	4	12	29	10	Temporal
JEP159	JEP159	B	5.2	6.2	0.07	NONE	2	3.5	0.2	0	12.2	131	10.3	2.18	139.9	21.5	1.94	548	231	77	12.9	59	3	20	15	3	Temporal
JEP160	JEP160	B	5.4	6	0.15	NONE	2	3.2	0.4	1	6.2	116	9.2	1.38	134.3	21.3	1.9	275	325	210	15.1	65	2	9	18	6	Temporal
JEP161	JEP161	B	5.2	6.3	0.09	NONE	2	3.9	0.1	0	14.1	151	6.8	2.51	115.8	28.1	1.68	514	144	73	11.8	62	3	22	10	3	Temporal
